time,liq_long_usd,liq_short_usd
2026-04-02 08:00:00,136.91,0.00
2026-04-02 09:00:00,692.69,0.00
2026-04-02 10:00:00,4456.21,85.44
2026-04-02 11:00:00,7070.65,0.00
2026-04-02 12:00:00,23144.47,0.00
2026-04-02 13:00:00,875.16,5.11
2026-04-02 14:00:00,59526.77,2681.69
2026-04-02 16:00:00,6085.06,0.00
2026-04-02 21:00:00,2487.34,175.85
2026-04-02 22:00:00,0.00,8.85
2026-04-03 01:00:00,88.76,0.00
2026-04-03 02:00:00,1532.93,0.00
2026-04-03 06:00:00,0.00,738.44
2026-04-03 07:00:00,0.00,533.24
2026-04-03 09:00:00,708.30,6.22
2026-04-03 10:00:00,519.67,557.17
2026-04-03 12:00:00,0.00,6.88
2026-04-03 13:00:00,1504.88,5.20
2026-04-03 14:00:00,4450.82,0.00
2026-04-03 15:00:00,0.00,601.24
2026-04-03 16:00:00,52.03,0.00
2026-04-03 17:00:00,5.69,183.82
2026-04-03 18:00:00,68143.01,0.00
2026-04-03 19:00:00,556.63,406.44
2026-04-03 20:00:00,2023.41,0.00
2026-04-03 22:00:00,0.00,139.95
2026-04-04 02:00:00,22.40,0.00
2026-04-04 03:00:00,10.05,78.70
2026-04-04 04:00:00,5.15,0.00
2026-04-04 06:00:00,1479.01,0.00
2026-04-04 09:00:00,65.35,0.00
2026-04-04 11:00:00,5002.63,0.00
2026-04-04 14:00:00,6.30,0.00
2026-04-04 15:00:00,6975.30,0.00
2026-04-04 16:00:00,267.13,1103.89
2026-04-04 17:00:00,8850.98,1388.59
2026-04-04 20:00:00,0.00,73987.45
2026-04-04 21:00:00,4656.71,0.00
2026-04-04 22:00:00,5.32,0.00
2026-04-05 00:00:00,76.98,0.00
2026-04-05 01:00:00,11.70,0.00
2026-04-05 02:00:00,20958.86,0.00
2026-04-05 03:00:00,325.14,0.00
2026-04-05 06:00:00,988.20,0.00
2026-04-05 07:00:00,8231.33,0.00
2026-04-05 08:00:00,68.91,0.00
2026-04-05 09:00:00,0.00,3582.94
2026-04-05 13:00:00,3021.91,0.00
2026-04-05 14:00:00,76.22,0.00
2026-04-05 16:00:00,301.09,3754.39
2026-04-05 21:00:00,0.00,223.92
2026-04-05 23:00:00,119.72,0.00
2026-04-06 00:00:00,266.53,1567.55
2026-04-06 01:00:00,0.00,596.48
2026-04-06 03:00:00,0.00,3557.35
2026-04-06 06:00:00,5.24,0.00
2026-04-06 10:00:00,0.00,1590.01
2026-04-06 11:00:00,0.00,912.67
2026-04-06 13:00:00,178.94,0.00
2026-04-06 14:00:00,0.00,445.24
2026-04-06 15:00:00,20208.36,0.00
2026-04-06 16:00:00,71.10,0.00
2026-04-06 18:00:00,1356.58,0.00
2026-04-06 19:00:00,0.00,184.93
2026-04-06 20:00:00,726.28,0.00
2026-04-06 22:00:00,11125.69,0.00
2026-04-06 23:00:00,21062.02,0.00
2026-04-07 00:00:00,235.90,0.01
2026-04-07 02:00:00,224.21,0.00
2026-04-07 03:00:00,1074.92,0.00
2026-04-07 05:00:00,0.00,5.40
2026-04-07 08:00:00,0.00,2714.09
2026-04-07 09:00:00,0.00,21.07
2026-04-07 10:00:00,0.00,4354.18
2026-04-07 11:00:00,72.23,0.00
2026-04-07 12:00:00,0.00,35.42
2026-04-07 13:00:00,23257.31,0.00
2026-04-07 14:00:00,11.80,132.56
2026-04-07 17:00:00,1120.36,0.00
2026-04-07 18:00:00,0.00,2106.35
2026-04-07 19:00:00,90.68,115.49
2026-04-07 20:00:00,125.77,0.00
2026-04-07 21:00:00,0.00,10241.19
2026-04-07 22:00:00,274.46,6761.47
2026-04-07 23:00:00,3774.54,17533.29
2026-04-08 00:00:00,208.91,17032.72
2026-04-08 01:00:00,85.99,1436.57
2026-04-08 02:00:00,882.16,0.00
2026-04-08 03:00:00,1732.00,0.00
2026-04-08 04:00:00,854.90,0.00
2026-04-08 05:00:00,30.97,70.82
2026-04-08 06:00:00,0.00,5.07
2026-04-08 12:00:00,1989.16,0.00
2026-04-08 14:00:00,898.54,1503.81
2026-04-08 15:00:00,2665.71,0.00
2026-04-08 16:00:00,0.00,82.31
2026-04-08 19:00:00,535.68,0.00
2026-04-08 20:00:00,11233.89,0.00
2026-04-08 23:00:00,405.64,7.43
2026-04-09 00:00:00,32717.46,0.00
2026-04-09 01:00:00,38660.48,0.00
2026-04-09 04:00:00,14.79,0.00
2026-04-09 06:00:00,1591.38,14.54
2026-04-09 07:00:00,6.11,0.00
2026-04-09 13:00:00,47.47,250.92
2026-04-09 14:00:00,3420.22,0.00
2026-04-09 15:00:00,5.05,19.45
2026-04-09 16:00:00,597.83,2741.78
2026-04-09 17:00:00,168.70,0.00
2026-04-09 18:00:00,0.00,32.32
2026-04-09 19:00:00,1162.67,206.87
2026-04-09 21:00:00,0.00,2866.50
2026-04-09 22:00:00,0.00,3419.01
2026-04-09 23:00:00,5477.99,94544.92
2026-04-10 00:00:00,12405.84,71.50
2026-04-10 01:00:00,2413.05,0.00
2026-04-10 03:00:00,30.23,0.00
2026-04-10 07:00:00,107.92,0.00
2026-04-10 09:00:00,0.00,122.94
2026-04-10 10:00:00,377.29,8118.48
2026-04-10 11:00:00,2623.08,540.93
2026-04-10 12:00:00,781.64,44.36
2026-04-10 13:00:00,791.30,1136.48
2026-04-10 14:00:00,9.81,873.05
2026-04-10 15:00:00,0.00,41.00
2026-04-10 17:00:00,23.29,675.27
2026-04-10 18:00:00,643.55,0.00
2026-04-10 20:00:00,837.27,26.98
2026-04-10 22:00:00,3044.76,0.00
2026-04-10 23:00:00,67.33,68.81
2026-04-11 01:00:00,48.79,0.00
2026-04-11 02:00:00,7129.59,0.00
2026-04-11 03:00:00,0.00,0.00
2026-04-11 04:00:00,6.25,0.00
2026-04-11 05:00:00,379.27,0.00
2026-04-11 06:00:00,4790.12,0.00
2026-04-11 07:00:00,5.23,0.00
2026-04-11 10:00:00,55.55,86.63
2026-04-11 14:00:00,197.78,0.00
2026-04-11 17:00:00,0.00,4244.18
2026-04-11 18:00:00,0.00,9.91
2026-04-11 19:00:00,0.00,41997.55
2026-04-11 20:00:00,1287.95,2331.73
2026-04-11 21:00:00,2669.78,0.00
2026-04-12 00:00:00,3028.08,1010.93
2026-04-12 01:00:00,3896.31,0.00
2026-04-12 02:00:00,55745.04,20.59
2026-04-12 03:00:00,8928.65,164.12
2026-04-12 04:00:00,64.67,0.00
2026-04-12 05:00:00,12052.92,0.00
2026-04-12 06:00:00,19.89,6.81
2026-04-12 07:00:00,35.90,0.00
2026-04-12 08:00:00,467.65,0.00
2026-04-12 10:00:00,588.59,0.00
2026-04-12 11:00:00,185.52,0.00
2026-04-12 12:00:00,0.00,2829.62
2026-04-12 13:00:00,74.33,738.03
2026-04-12 14:00:00,34976.38,984.97
2026-04-12 16:00:00,0.00,162.87
2026-04-12 18:00:00,0.00,10.82
2026-04-12 19:00:00,675.46,0.00
2026-04-12 21:00:00,0.00,51.91
2026-04-12 22:00:00,255.78,0.00
2026-04-12 23:00:00,14801.54,0.00
2026-04-13 03:00:00,0.00,62.02
2026-04-13 05:00:00,90.87,0.00
2026-04-13 06:00:00,1131.36,0.00
2026-04-13 07:00:00,1665.63,394.57
2026-04-13 08:00:00,3815.36,1144.45
2026-04-13 09:00:00,17.82,0.00
2026-04-13 10:00:00,339.51,0.00
2026-04-13 13:00:00,0.00,30.73
2026-04-13 14:00:00,775.67,4357.60
2026-04-13 15:00:00,0.00,237.62
2026-04-13 16:00:00,20767.61,0.00
2026-04-13 17:00:00,258.23,292.34
2026-04-13 19:00:00,1844.47,0.00
2026-04-13 20:00:00,0.00,5397.60
2026-04-13 21:00:00,10.58,10.40
2026-04-13 22:00:00,8.15,0.00
2026-04-13 23:00:00,0.00,2008.14
2026-04-14 00:00:00,0.00,10303.30
